Date,BTC
2022-02-01,"38.777,80 Dolar Amerika Serikat"
2022-02-02,"36.859,90 Dolar Amerika Serikat"
2022-02-03,"37.077,90 Dolar Amerika Serikat"
2022-02-04,"37.558,70 Dolar Amerika Serikat"
2022-02-05,"41.433,60 Dolar Amerika Serikat"
2022-02-06,"42.415,10 Dolar Amerika Serikat"
2022-02-07,"43.919,50 Dolar Amerika Serikat"
2022-02-08,"44.130,50 Dolar Amerika Serikat"
2022-02-09,"44.339,60 Dolar Amerika Serikat"
2022-02-10,"43.517,20 Dolar Amerika Serikat"
2022-02-11,"42.400,20 Dolar Amerika Serikat"
2022-02-12,"42.178,40 Dolar Amerika Serikat"
2022-02-13,"42.075,00 Dolar Amerika Serikat"
2022-02-14,"42.548,60 Dolar Amerika Serikat"
2022-02-15,"44.591,80 Dolar Amerika Serikat"
2022-02-16,"43.986,10 Dolar Amerika Serikat"
2022-02-17,"40.546,20 Dolar Amerika Serikat"
2022-02-18,"39.983,50 Dolar Amerika Serikat"
2022-02-19,"40.147,90 Dolar Amerika Serikat"
2022-02-20,"38.389,00 Dolar Amerika Serikat"
2022-02-21,"37.023,00 Dolar Amerika Serikat"
2022-02-22,"37.669,10 Dolar Amerika Serikat"
2022-02-23,"37.478,10 Dolar Amerika Serikat"
2022-02-23,"37.572,80 Dolar Amerika Serikat"
2022-02-23,"37.660,90 Dolar Amerika Serikat"
2022-02-23,"37.926,40 Dolar Amerika Serikat"
